Object,a (AU),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),ref,class,Object
333521 (2005 PO),1.2523204,0.373187198,12.514296,249.4660629,300.5517251,0.785,1.72,1.4,19.9,0.017381,47,APO*,333521 (2005 PO)
333578 (2006 KM103),1.57357484,0.376960859,11.6832963,196.9342053,169.500894,0.9804,2.17,1.97,20.2,0.012543,82,APO*,333578 (2006 KM103)
337075 (1998 QC1),1.98256953,0.591138149,9.6386089,115.2556766,308.5109056,0.8106,3.15,2.79,19.7,0.017053,56,APO*,337075 (1998 QC1)
337558 (2001 SG262),1.96218216,0.581964109,4.8162755,99.710258,359.4666032,0.8203,3.1,2.75,19.3,0.031308,20,APO*,337558 (2001 SG262)
341843 (2008 EV5),0.95828992,0.083485994,7.4367874,234.8245877,93.391229,0.8783,1.04,0.94,20,0.014296,102,ATE*,341843 (2008 EV5)
342866 (2008 YU32),1.53701088,0.595534849,3.4098553,83.9072667,232.6443486,0.6217,2.45,1.91,20.1,0.006438,50,APO*,342866 (2008 YU32)
344076 (1998 HJ3),1.98610234,0.746359616,6.5578471,94.0815656,223.685422,0.5038,3.47,2.8,18.8,0.011232,26,APO*,344076 (1998 HJ3)
348306 (2005 AY28),0.87246864,0.570098323,5.8837275,155.9126165,117.525866,0.3751,1.37,0.81,21.5,0.035903,50,ATE*,348306 (2005 AY28)
348314 (2005 BC),1.18960075,0.278042678,30.1217345,84.1943863,292.4820485,0.8588,1.52,1.3,17.9,0.045591,58,APO*,348314 (2005 BC)
348400 (2005 JF21),2.2248152,0.536138849,10.8559798,206.0555532,132.2779415,1.032,3.42,3.32,17.3,0.046178,182,AMO*,348400 (2005 JF21)
349068 (2006 YT13),1.32311609,0.425892247,38.2412895,105.474834,116.7339836,0.7596,1.89,1.52,18.3,0.036882,66,APO*,349068 (2006 YT13)
349507 (2008 QY),1.1669168,0.581357304,13.5823786,254.831202,1.9843903,0.4885,1.85,1.26,18.6,0.030274,53,APO*,349507 (2008 QY)
350523 (2000 EA14),1.11697459,0.202639097,3.5555009,205.9949196,203.868112,0.8906,1.34,1.18,21.1,0.043202,46,APO*,350523 (2000 EA14)
350751 (2002 AW),1.07065327,0.25620271,0.5715554,118.8702696,162.3774636,0.7963,1.34,1.11,20.8,0.004779,52,APO*,350751 (2002 AW)
352102 (2007 AG12),2.09040902,0.656112188,41.9840755,68.1539885,305.5106815,0.7189,3.46,3.02,19.5,0.046927,24,APO*,352102 (2007 AG12)
354182 (2002 DU3),1.14538403,0.238196846,8.7012765,245.4879223,0.697043,0.8726,1.42,1.23,20.7,0.007525,33,APO*,354182 (2002 DU3)
356991 (1998 QA1),2.1039271,0.532418819,8.1682665,332.9426064,299.0305677,0.9838,3.22,3.05,18.9,0.0048,51,APO*,356991 (1998 QA1)
357022 (1999 YG3),1.28481684,0.329547494,34.5162594,250.2237782,293.2884028,0.8614,1.71,1.46,19.1,0.042038,70,APO*,357022 (1999 YG3)
357024 (1999 YR14),1.65106563,0.400369633,3.7297433,9.5968822,3.0312,0.99,2.31,2.12,19.2,0.006508,80,APO*,357024 (1999 YR14)
357028 (2000 EJ26),1.38273686,0.614621851,9.2263034,285.8627935,10.5248627,0.5329,2.23,1.63,19.4,0.007487,38,APO*,357028 (2000 EJ26)
357439 (2004 BL86),1.50235435,0.40247003,23.774178,311.4436242,126.7071853,0.8977,2.11,1.84,19.3,0.008348,89,APO*,357439 (2004 BL86)
357594 (2004 XL35),1.35543361,0.278492279,27.2994096,356.1383023,73.7763997,0.978,1.73,1.58,19.5,0.006291,33,APO*,357594 (2004 XL35)
357622 (2005 EY95),1.08340797,0.538399131,3.169997,342.0511588,72.9204865,0.5001,1.67,1.13,20.3,0.03991,51,APO*,357622 (2005 EY95)
358471 (2007 NS4),1.87428935,0.59799307,5.8019035,47.2338748,11.2221757,0.7535,3,2.57,19.1,0.039603,29,APO*,358471 (2007 NS4)
358744 (2008 CR118),1.83912125,0.510739331,3.9245824,156.9727573,121.5710616,0.8998,2.78,2.49,18.8,0.028066,44,APO*,358744 (2008 CR118)
359170 (2009 CN5),1.54505723,0.465380181,11.9127986,53.1309493,349.7896285,0.826,2.26,1.92,20,0.034432,23,APO*,359170 (2009 CN5)
359369 (2009 YG),2.14643771,0.698246687,3.3883786,67.4327033,138.904324,0.6477,3.65,3.14,18.5,0.0129,44,APO*,359369 (2009 YG)
360191 (1988 TA),1.53985079,0.478330019,2.5312429,105.1932109,194.7184386,0.8033,2.28,1.91,20.6,0.005966,50,APO*,360191 (1988 TA)
361754 (2007 YV29),1.37314184,0.356958694,21.8825856,321.828594,59.3252475,0.883,1.86,1.61,19,0.046072,26,APO*,361754 (2007 YV29)
363024 (1998 OK1),1.35580828,0.429297156,13.9911794,298.5147395,109.7056631,0.7738,1.94,1.58,19.3,0.039595,33,APO*,363024 (1998 OK1)
363027 (1998 ST27),0.81936431,0.529993771,21.0582514,322.4681985,197.5574458,0.3851,1.25,0.74,19.5,0.010364,71,ATE*,363027 (1998 ST27)
363067 (2000 CO101),1.07640834,0.090059823,15.3232085,64.9410879,353.073924,0.9795,1.17,1.12,19.1,0.023348,137,APO*,363067 (2000 CO101)
363084 (2000 RD53),1.78640006,0.428141151,9.2852433,192.7808762,175.9882445,1.0216,2.55,2.39,19.9,0.024626,49,AMO*,363084 (2000 RD53)
363116 (2001 GQ2),1.21435557,0.503013953,21.8221962,280.2933806,37.1440652,0.6035,1.83,1.34,20.1,0.005511,81,APO*,363116 (2001 GQ2)
363305 (2002 NV16),1.2373031,0.219847247,3.5014306,179.2169972,183.3360299,0.9653,1.51,1.38,21.4,0.027742,87,APO*,363305 (2002 NV16)
363344 (2002 QC7),1.16915891,0.195964626,26.8073781,184.434225,336.0420065,0.94,1.4,1.26,20,0.049242,34,APO*,363344 (2002 QC7)
363505 (2003 UC20),0.78128816,0.336796117,3.79479,59.2887963,188.8628967,0.5182,1.04,0.69,18.1,0.034421,233,ATE*,363505 (2003 UC20)
363599 (2004 FG11),1.58809136,0.724036891,3.1147827,227.6707658,84.5127175,0.4383,2.74,2,21,0.021202,59,APO*,363599 (2004 FG11)
363734 (2004 XN50),1.68149625,0.7783668,3.313548,253.3441979,62.468932,0.3727,2.99,2.18,18.8,0.00813,48,APO*,363734 (2004 XN50)
363790 (2005 JE46),1.90294542,0.552865933,8.2642168,114.6551976,238.4355265,0.8509,2.96,2.63,17.7,0.028967,126,APO*,363790 (2005 JE46)
363831 (2005 PY16),1.9750315,0.525709672,6.4183012,193.4817006,159.353454,0.9367,3.01,2.78,19.2,0.042624,50,APO*,363831 (2005 PY16)
364136 (2006 CJ),0.67650939,0.75489083,10.2352381,29.6239915,303.2686983,0.1658,1.19,0.56,20.2,0.025617,51,ATE*,364136 (2006 CJ)
365014 (2008 OX2),1.04772246,0.601919856,6.6483959,251.9003854,220.2494993,0.4171,1.68,1.07,20.2,0.032226,51,APO*,365014 (2008 OX2)
365071 (2009 AV),1.02982267,0.073961708,45.8647768,322.1067628,150.748987,0.9537,1.11,1.05,18.1,0.02091,146,APO*,365071 (2009 AV)
365424 (2010 KX7),0.98992778,0.171003344,21.4862893,61.8513181,46.5121062,0.8206,1.16,0.98,21.9,0.033442,25,ATE*,365424 (2010 KX7)
366746 (2004 LJ),1.08708364,0.461549822,18.2835667,256.0411034,246.754305,0.5853,1.59,1.13,20.2,0.027311,37,APO*,366746 (2004 LJ)
366774 (2004 TB18),1.81499884,0.450383031,13.2047625,13.0591697,121.0248555,0.9976,2.63,2.45,17.7,0.020702,134,APO*,366774 (2004 TB18)
367248 (2007 MK13),1.02466806,0.139827578,19.8797289,259.9592693,95.0992338,0.8814,1.17,1.04,20,0.032826,50,APO*,367248 (2007 MK13)
367789 (2011 AG5),1.43085534,0.390335005,3.682247,53.5448121,135.6730069,0.8723,1.99,1.71,21.8,0.000283,59,APO*,367789 (2011 AG5)
368203 (2001 KO2),2.4916707,0.612415315,12.2374595,327.8248432,243.0537511,0.9657,4.02,3.93,20.4,0.009497,32,APO*,368203 (2001 KO2)
368565 (2004 FE5),1.24510276,0.600356989,18.3099102,243.3685179,189.4765585,0.4976,1.99,1.39,20,0.035338,25,APO*,368565 (2004 FE5)
369057 (2008 DK5),1.55427026,0.614974523,4.2726615,80.7414961,345.8329788,0.5984,2.51,1.94,21.3,0.008946,32,APO*,369057 (2008 DK5)
369264 (2009 MS),2.00504735,0.569407046,52.3958865,219.5398983,252.0870882,0.8634,3.15,2.84,16.3,0.041514,51,APO*,369264 (2009 MS)
371660 (2007 CN26),1.29264388,0.269203765,7.5834714,135.6483281,159.3081298,0.9447,1.64,1.47,21.1,0.001625,67,APO*,371660 (2007 CN26)
373135 (2011 SD173),1.6527811,0.497537826,4.3892721,59.3873344,203.1816635,0.8305,2.48,2.12,19.5,0.002179,62,APO*,373135 (2011 SD173)
374038 (2004 HW),2.69451777,0.63440521,0.8297397,62.7771137,219.9101436,0.9851,4.4,4.42,17,0.00947,60,APO*,374038 (2004 HW)
374158 (2004 UL),1.26641526,0.926746044,23.7836646,149.5690074,39.5765401,0.0928,2.44,1.43,18.8,0.018109,53,APO*,374158 (2004 UL)
374851 (2006 VV2),2.38720974,0.605223076,23.7219714,145.1045486,9.853655,0.9424,3.83,3.69,16.8,0.010618,96,APO*,374851 (2006 VV2)
374855 (2006 VQ13),1.09960759,0.445729527,16.6970924,73.8097454,233.7158644,0.6095,1.59,1.15,20,0.00895,37,APO*,374855 (2006 VQ13)
375054 (2007 PF6),1.29872496,0.416512765,25.6003005,251.1857469,316.3897528,0.7578,1.84,1.48,20.7,0.030629,27,APO*,375054 (2007 PF6)
375103 (2007 TD71),1.28619141,0.279693431,49.7560275,220.7325823,49.5902796,0.9265,1.65,1.46,18.4,0.030803,51,APO*,375103 (2007 TD71)
377097 (2002 WQ4),1.95870525,0.554838215,3.9440462,244.3800608,267.1477094,0.8719,3.05,2.74,19.6,0.019741,64,APO*,377097 (2002 WQ4)
377732 (2005 XJ8),1.93047539,0.621381841,23.5792856,67.3176903,115.9737149,0.7309,3.13,2.68,17,0.017861,91,APO*,377732 (2005 XJ8)
378160 (2006 WX1),0.91660208,0.300174178,11.6435196,290.9154397,328.0151034,0.6415,1.19,0.88,19.5,0.029103,47,ATE*,378160 (2006 WX1)
378358 (2007 LD),1.72624857,0.43936916,16.4944479,316.8728592,226.251896,0.9678,2.48,2.27,19.3,0.036972,37,APO*,378358 (2007 LD)
380636 (2004 XN14),0.93130797,0.266478315,10.7434641,115.6971337,120.8719153,0.6831,1.18,0.9,19.7,0.003168,52,ATE*,380636 (2004 XN14)
380981 (2006 SU131),1.72696291,0.395243343,9.6587036,167.7046402,107.4094619,1.0444,2.41,2.27,18.8,0.033431,76,AMO*,380981 (2006 SU131)
381906 (2010 CL19),1.54293312,0.645543263,7.3124166,76.7600547,243.8441752,0.5469,2.54,1.92,17.9,0.011604,80,APO*,381906 (2010 CL19)
382395 (1990 SM),2.10591948,0.764026846,11.6075704,107.6309767,136.2773612,0.4969,3.71,3.06,16.4,0.031015,36,APO*,382395 (1990 SM)
382406 (1996 AJ1),1.30974507,0.781453426,2.5362107,238.2644936,90.9897297,0.2862,2.33,1.5,20.3,0.004773,24,APO*,382406 (1996 AJ1)
382745 (2003 CC),1.50052523,0.326807169,2.3238836,103.1566896,136.3403064,1.0101,1.99,1.84,20.4,0.036132,49,APO*,382745 (2003 CC)
382758 (2003 GY),1.37967934,0.317129019,4.6741933,334.1398736,321.8261131,0.9421,1.82,1.62,20.2,0.022529,86,APO*,382758 (2003 GY)
382825 (2003 XB22),1.40551556,0.393515201,29.9503933,118.2539258,108.8088929,0.8524,1.96,1.67,19.4,0.012635,54,APO*,382825 (2003 XB22)
385186 (1994 AW1),1.10528024,0.075796228,24.0953403,37.027679,290.3733773,1.0215,1.19,1.16,17.7,0.020213,204,AMO*,385186 (1994 AW1)
385252 (2001 EB18),1.05298988,0.183702116,50.0626558,101.9180226,155.4815436,0.8596,1.25,1.08,19.3,0.027992,28,APO*,385252 (2001 EB18)
385343 (2002 LV),2.31443207,0.605283151,29.5435633,224.206583,132.204769,0.9135,3.72,3.52,16.6,0.007854,199,APO*,385343 (2002 LV)
385605 (2005 EJ225),1.70658928,0.5729038,8.8586116,290.530572,342.1456326,0.7289,2.68,2.23,19,0.016431,56,APO*,385605 (2005 EJ225)
386454 (2008 XM),1.22224301,0.909080076,5.4469045,27.3618839,240.631674,0.1111,2.33,1.35,20,0.004763,27,APO*,386454 (2008 XM)
386847 (2010 LR33),1.69191572,0.462332174,5.8338204,333.1829348,352.1215913,0.9097,2.47,2.2,18.1,0.028411,59,APO*,386847 (2010 LR33)
387505 (1998 KN3),1.54166571,0.873659783,2.2961659,70.7634674,313.6960588,0.1948,2.89,1.91,18.5,0.018046,48,APO*,387505 (1998 KN3)
387668 (2002 SZ),1.29739326,0.433404322,22.8938544,276.5178313,346.8788774,0.7351,1.86,1.48,20.4,0.001226,37,APO*,387668 (2002 SZ)
387746 (2003 MH4),1.96345083,0.513901859,3.8833682,322.9976682,259.8397854,0.9544,2.97,2.75,20,0.002968,69,APO*,387746 (2003 MH4)
388188 (2006 DP14),1.36566124,0.776507898,11.7874967,59.2058133,317.2666289,0.3052,2.43,1.6,18.9,0.016126,74,APO*,388188 (2006 DP14)
388945 (2008 TZ3),1.58987364,0.390259949,8.8067368,219.406979,44.1956273,0.9694,2.21,2,20.4,0.01673,81,APO*,388945 (2008 TZ3)
389694 (2011 QD48),1.54520122,0.492103677,19.0655205,106.6778545,358.8896653,0.7848,2.31,1.92,18.1,0.019253,129,APO*,389694 (2011 QD48)
390725 (2003 HB),0.8497432,0.380604942,18.1086911,306.7200484,70.3968963,0.5263,1.17,0.78,19.7,0.046107,55,ATE*,390725 (2003 HB)
390929 (2005 GP21),1.30837953,0.224517212,18.8053965,1.3751862,10.0158167,1.0146,1.6,1.5,20.5,0.015094,35,APO*,390929 (2005 GP21)
391211 (2006 HZ51),1.89723966,0.449838343,12.4117642,193.3331003,84.2941165,1.0438,2.75,2.61,18.5,0.035346,46,AMO*,391211 (2006 HZ51)
395207 (2010 HQ80),1.56813591,0.489312456,27.8520763,66.289213,218.502402,0.8008,2.34,1.96,19.7,0.007988,62,APO*,395207 (2010 HQ80)
398188 (2010 LE15),0.86415837,0.273646741,13.2466291,328.6746509,134.2622602,0.6277,1.1,0.8,19.5,0.023208,61,ATE*,398188 (2010 LE15)
399457 (2002 PD43),2.50917861,0.95604169,26.063434,210.7984373,315.1884085,0.1103,4.91,3.97,19.1,0.029019,28,APO*,399457 (2002 PD43)
399774 (2005 NB7),2.04414634,0.517436518,12.6963071,348.1584995,199.2089274,0.9864,3.1,2.92,18.7,0.00773,92,APO*,399774 (2005 NB7)
401856 (2000 KW43),1.45245624,0.477873943,24.2769888,63.5352276,82.6959884,0.7584,2.15,1.75,20.2,0.045637,35,APO*,401856 (2000 KW43)
401954 (2002 RW25),0.82548213,0.28664231,1.3269471,71.5968548,92.0567442,0.5889,1.06,0.75,18.8,0.016017,32,ATE*,401954 (2002 RW25)
403775 (2011 HS4),0.93837596,0.68006554,5.4612388,314.2173864,117.550577,0.3002,1.58,0.91,21,0.005903,24,ATE*,403775 (2011 HS4)
405212 (2003 QC10),1.37290192,0.731291689,5.0386642,120.6921125,0.1360416,0.3689,2.38,1.61,18.1,0.00146,49,APO*,405212 (2003 QC10)
405762 (2005 YO180),1.48072254,0.447911915,5.772791,87.6274292,7.8121435,0.8175,2.14,1.8,20.3,0.037598,17,APO*,405762 (2005 YO180)
406213 (2007 AB2),1.91725639,0.546212337,1.4591318,280.595296,127.1137239,0.87,2.96,2.65,20.3,0.013152,67,APO*,406213 (2007 AB2)
408792 (2000 GF2),1.34077017,0.37747556,9.6300929,108.0719302,176.0597059,0.8347,1.85,1.55,20.5,0.011449,37,APO*,408792 (2000 GF2)
409836 (2006 QY110),1.9247478,0.573078806,6.4072372,221.5041181,222.7002517,0.8217,3.03,2.67,18.1,0.031012,44,APO*,409836 (2006 QY110)
410627 (2008 RG1),1.31537011,0.442784677,13.0919601,257.3160676,347.8575992,0.7329,1.9,1.51,20.7,0.014044,38,APO*,410627 (2008 RG1)
410777 (2009 FD),1.16274697,0.492925092,3.1371819,281.2236481,9.557415,0.5896,1.74,1.25,22.1,0.002482,86,APO,410777 (2009 FD)
410778 (2009 FG19),2.90883681,0.719824357,54.5000589,120.3835184,187.5839709,0.815,5,4.96,18.1,0.023627,51,APO*,410778 (2009 FG19)
411165 (2010 DF1),1.59855263,0.502902173,20.0747137,101.7557882,154.9117822,0.7946,2.4,2.02,21.8,0.04432,17,APO*,411165 (2010 DF1)
412983 (1996 FO3),1.44292523,0.290415627,5.8134133,162.6969729,333.6177473,1.0239,1.86,1.73,20.3,0.04172,37,AMO*,412983 (1996 FO3)
413260 (2003 TL4),0.77658969,0.381536249,12.1854349,321.9348463,220.0658707,0.4803,1.07,0.68,19.4,0.024733,64,ATE*,413260 (2003 TL4)
413577 (2005 UL5),0.93624802,0.569828456,14.3176703,127.7502288,58.9150329,0.4027,1.47,0.91,20.3,0.005542,73,ATE*,413577 (2005 UL5)
413989 (2007 EL88),1.11956649,0.521863639,30.8429807,116.1664806,198.4724383,0.5353,1.7,1.18,19,0.035597,39,APO*,413989 (2007 EL88)
414286 (2008 OC6),0.9230126,0.199242582,21.8451133,295.8534236,177.6131375,0.7391,1.11,0.89,18.6,0.029283,54,ATE*,414286 (2008 OC6)
414287 (2008 OB9),3.21112594,0.75717165,13.5055159,238.2193448,202.9883689,0.7798,5.64,5.75,17.7,0.007545,86,APO*,414287 (2008 OB9)
414990 (2011 EM51),1.32107761,0.335012815,1.8659382,142.2393899,134.2235361,0.8785,1.76,1.52,21.9,0.012839,55,APO*,414990 (2011 EM51)
415029 (2011 UL21),2.12251325,0.653310269,34.8482905,284.7653023,275.5713996,0.7359,3.51,3.09,15.8,0.019516,42,APO*,415029 (2011 UL21)
415713 (1998 XX2),0.74128723,0.36740384,6.9723905,153.0006168,74.442804,0.4689,1.01,0.64,19.9,0.015588,24,ATE*,415713 (1998 XX2)
415745 (2000 GV147),1.74642489,0.456365018,10.5652358,216.0481576,68.6895895,0.9494,2.54,2.31,19.3,0.002283,43,APO*,415745 (2000 GV147)
416195 (2002 TR190),1.07686074,0.159932218,26.9190264,104.7349378,24.2402955,0.9046,1.25,1.12,19.4,0.005028,45,APO*,416195 (2002 TR190)
416591 (2004 LC2),1.86415439,0.735268468,10.980038,290.6125424,84.3707238,0.4935,3.23,2.55,18.5,0.027302,43,APO*,416591 (2004 LC2)
416801 (2005 GC120),1.1937528,0.497550538,16.5324332,258.2568709,67.9736787,0.5998,1.79,1.3,19.6,0.006341,53,APO*,416801 (2005 GC120)
417211 (2005 XL80),1.72699235,0.487512925,10.8952563,143.5863854,53.3817464,0.8851,2.57,2.27,18.2,0.042562,70,APO*,417211 (2005 XL80)
417217 (2005 YS),0.71107703,0.550391832,19.5858562,327.8834037,288.637911,0.3197,1.1,0.6,19.6,0.029915,42,ATE*,417217 (2005 YS)
417419 (2006 KL21),1.1990384,0.127373771,9.3549495,214.2546882,117.2217638,1.0463,1.35,1.31,20.9,0.048891,50,AMO*,417419 (2006 KL21)
417612 (2006 WQ29),1.60091982,0.393555609,8.0717731,136.5634125,112.0144201,0.9709,2.23,2.03,18.3,0.020863,31,APO*,417612 (2006 WQ29)
417634 (2006 XG1),2.45937807,0.595076722,20.4859839,344.0625422,38.4747003,0.9959,3.92,3.86,18.5,0.017714,33,APO*,417634 (2006 XG1)
417816 (2007 FA),1.25018493,0.26568222,16.3283021,135.3990708,156.4386067,0.918,1.58,1.4,20.2,0.027006,40,APO*,417816 (2007 FA)
417871 (2007 MB24),1.87601824,0.700043893,47.7097818,269.1536216,271.1739844,0.5627,3.19,2.57,18.2,0.026682,45,APO*,417871 (2007 MB24)
417949 (2007 TB23),1.26211574,0.197804538,38.2909139,173.8089989,40.1169448,1.0125,1.51,1.42,18.7,0.006057,47,APO*,417949 (2007 TB23)
418094 (2007 WV4),1.48549318,0.440743006,38.3439253,297.6357674,249.9076342,0.8308,2.14,1.81,19.3,0.017724,36,APO*,418094 (2007 WV4)
418135 (2008 AG33),1.46066976,0.337420567,16.0011645,155.6094545,38.3520835,0.9678,1.95,1.77,19.6,0.015927,20,APO*,418135 (2008 AG33)
418416 (2008 LV16),2.08955617,0.625345219,4.7121558,121.9272901,236.5526965,0.7829,3.4,3.02,20.3,0.006028,57,APO*,418416 (2008 LV16)
418849 (2008 WM64),1.00495726,0.106964006,33.5241984,256.5110883,91.4727795,0.8975,1.11,1.01,20.6,0.035006,35,APO*,418849 (2008 WM64)
419472 (2010 DW1),1.22502683,0.200208151,23.7671972,9.6192591,157.1413298,0.9798,1.47,1.36,19.9,0.007973,44,APO*,419472 (2010 DW1)
419624 (2010 SO16),1.00265566,0.07537165,14.5206454,108.8959638,40.4053894,0.9271,1.08,1,20.5,0.029829,74,APO*,419624 (2010 SO16)
419880 (2011 AH37),2.54459578,0.671837637,9.6562743,322.3673169,102.0897193,0.835,4.25,4.06,19.7,0.035309,39,APO*,419880 (2011 AH37)
420210 (2011 HF),1.28381265,0.234850117,10.6223312,149.6254574,204.9149443,0.9823,1.59,1.45,20.4,0.011378,59,APO*,420210 (2011 HF)
422686 (2000 AC6),0.85327712,0.286352227,4.6955174,188.0443272,101.4608919,0.6089,1.1,0.79,21.5,0.046219,59,ATE*,422686 (2000 AC6)
422699 (2000 PD3),1.99787429,0.593339083,7.691998,109.9024792,298.8909815,0.8125,3.18,2.82,18.3,0.026828,57,APO*,422699 (2000 PD3)
422787 (2001 WS1),2.59572176,0.61717296,13.2712989,4.9284281,1.4028558,0.9937,4.2,4.18,16.7,0.006927,20,APO*,422787 (2001 WS1)
423321 (2005 ED318),1.8499028,0.449503463,2.3897023,164.1776557,82.0677398,1.0184,2.68,2.52,20.8,0.009182,66,AMO*,423321 (2005 ED318)
423709 (2006 BQ6),1.47179597,0.404729067,12.9963697,304.7247698,307.6721126,0.8761,2.07,1.79,19.7,0.008871,93,APO*,423709 (2006 BQ6)
424482 (2008 DG5),1.25575021,0.242611786,5.7066196,59.6640172,244.0468726,0.9511,1.56,1.41,19.6,0.018805,42,APO*,424482 (2008 DG5)
425755 (2011 CP4),0.91143899,0.870263469,9.4422101,159.8629996,148.0531564,0.1182,1.7,0.87,21.2,0.018846,59,ATE*,425755 (2011 CP4)
428209 (2006 VC),1.94189221,0.491669285,12.2533149,19.1761893,87.5912484,0.9871,2.9,2.71,20,0.019967,41,APO*,428209 (2006 VC)
429094 (2009 SG2),1.12091471,0.170117146,25.9795792,252.9484602,9.0954872,0.9302,1.31,1.19,20.1,0.035445,45,APO*,429094 (2009 SG2)
429584 (2011 EU29),2.49847948,0.700135841,2.5762842,251.1524087,177.2650765,0.7492,4.25,3.95,19.9,0.003083,48,APO*,429584 (2011 EU29)
430440 (2000 OH),2.42140695,0.591566203,18.6745695,355.3881395,283.7815148,0.989,3.85,3.77,17.5,0.025811,76,APO*,430440 (2000 OH)
430544 (2002 GM2),2.19762397,0.808317976,3.3546175,84.0142428,339.6800939,0.4212,3.97,3.26,18.6,0.010844,35,APO*,430544 (2002 GM2)
430804 (2005 AD13),1.95009032,0.755103374,12.3715718,263.2710477,103.0910125,0.4776,3.42,2.72,17.9,0.01612,92,APO*,430804 (2005 AD13)
433953 (1997 XR2),1.0762118,0.200910373,7.1915934,84.59164,250.6956419,0.86,1.29,1.12,20.8,0.000122,56,APO*,433953 (1997 XR2)
434096 (2002 GO5),1.89667224,0.766720105,13.8027327,64.9583086,22.9850014,0.4425,3.35,2.61,18,0.034254,54,APO*,434096 (2002 GO5)
434188 (2003 AD23),1.64561757,0.76270405,23.3436296,241.6109154,101.5457587,0.3905,2.9,2.11,18.8,0.033341,25,APO*,434188 (2003 AD23)
434196 (2003 HG2),1.06230745,0.134591531,19.7789581,225.3377473,214.2638372,0.9193,1.21,1.09,21.3,0.038985,39,APO*,434196 (2003 HG2)
434326 (2004 JG6),0.63522262,0.531191253,18.9447375,352.9904619,37.0322016,0.2978,0.97,0.51,18.4,0.039215,32,IEO*,434326 (2004 JG6)
434633 (2005 WB1),1.2638497,0.355373091,22.8825875,265.7129943,61.4349278,0.8147,1.71,1.42,20.9,0.04662,26,APO*,434633 (2005 WB1)
434677 (2006 BZ7),1.49008713,0.366370249,68.4154938,188.7440662,262.9590146,0.9442,2.04,1.82,17.4,0.036596,28,APO*,434677 (2006 BZ7)
434734 (2006 FX),1.4951888,0.43822373,24.6313944,299.4574151,181.2168402,0.84,2.15,1.83,20,0.002087,40,APO*,434734 (2006 FX)
435159 (2007 LQ19),2.60319806,0.629938545,17.0687841,207.6306801,110.8685085,0.9633,4.24,4.2,17.1,0.006845,56,APO*,435159 (2007 LQ19)
435548 (2008 QT3),2.01250608,0.527584767,7.2277118,160.6769685,272.0359032,0.9507,3.07,2.86,18.8,0.009495,99,APO*,435548 (2008 QT3)
436329 (2010 GX62),2.9539087,0.704474911,21.6598922,316.1361276,207.8993661,0.873,5.03,5.08,20.1,0.013259,58,APO*,436329 (2010 GX62)
436671 (2011 SV71),2.62625613,0.610679192,13.4249464,190.4560197,80.6091325,1.0225,4.23,4.26,18,0.01326,53,AMO*,436671 (2011 SV71)
436724 (2011 UW158),1.62042356,0.376157275,4.571702,8.743335,286.0082805,1.0109,2.23,2.06,19.9,0.001749,134,APO*,436724 (2011 UW158)
436774 (2012 KY3),1.23207472,0.486311794,21.3949733,87.2576982,21.5787229,0.6329,1.83,1.37,18.4,0.023784,39,APO*,436774 (2012 KY3)
437841 (1998 HD14),0.96327453,0.312679179,7.8072358,260.8126006,183.8805051,0.6621,1.26,0.95,21.1,0.034014,34,ATE*,437841 (1998 HD14)
437844 (1999 MN),0.67389207,0.665239499,2.0150635,9.9042675,80.780481,0.2256,1.12,0.55,21.4,0.00555,48,ATE*,437844 (1999 MN)
437905 (2001 XU30),2.19260972,0.667506462,8.9141087,106.5850041,72.4734419,0.729,3.66,3.25,19.8,0.001971,28,APO*,437905 (2001 XU30)
438105 (2005 GO22),1.91345914,0.823962788,1.5852905,18.73099,62.0279598,0.3368,3.49,2.65,18.7,0.019002,63,APO*,438105 (2005 GO22)
438661 (2008 EP6),1.20931218,0.293277315,17.7200784,130.3198195,303.2831117,0.8546,1.56,1.33,19.4,0.047165,34,APO*,438661 (2008 EP6)
438908 (2009 XO),1.85477478,0.541787719,0.3539695,140.4635701,27.8716611,0.8499,2.86,2.53,20.5,0.001823,67,APO*,438908 (2009 XO)
438955 (2010 LN14),1.15435063,0.474834777,1.4936596,33.4445122,342.7744205,0.6062,1.7,1.24,21.1,0.018305,37,APO*,438955 (2010 LN14)
439313 (2012 VE82),2.10853734,0.543893894,9.9357712,186.4418873,110.4608381,0.9617,3.26,3.06,19.5,0.049632,29,APO*,439313 (2012 VE82)
439437 (2013 NK4),1.02314986,0.549791088,6.5281672,50.5289901,33.7987255,0.4606,1.59,1.03,18.7,0.015274,28,APO*,439437 (2013 NK4)
439877 (1999 XM141),1.23634164,0.369391541,21.6197194,105.7191307,73.0282311,0.7796,1.69,1.37,19.5,0.033167,33,APO*,439877 (1999 XM141)
440212 (2004 OB),1.68056663,0.430541955,3.4428833,223.2454946,174.5884156,0.957,2.4,2.18,18.9,0.011717,106,APO*,440212 (2004 OB)
441641 (2008 WZ13),1.99694869,0.560917032,8.1796609,133.6470048,51.9477582,0.8768,3.12,2.82,18.6,0.010428,63,APO*,441641 (2008 WZ13)
441987 (2010 NY65),0.99791051,0.36951866,11.7273241,251.1710922,268.1235555,0.6292,1.37,1,21.5,0.017713,67,ATE*,441987 (2010 NY65)
